name,url,cap_hit,cap_hit_pct,base_salary,signing_bonus,contract_start_year,contract_years_signed,contract_years_left,free_agent_year,salary_signed,status_after_contract,age,birthday,experience,country,college,drafted,team_name
Justin Brazeau,https://www.spotrac.com/nhl/player/_/id/89371,775000,0.88,775000,-,2023,2,1,2025,1550000,UFA,26-236d,Feb 02 1998,,CA,,Undrafted BOS 2024,Boston Bruins
Vinni Lettieri,https://www.spotrac.com/nhl/player/_/id/21683,775000,0.88,775000,-,2023,2,1,2025,1550000,UFA,29-233d,Feb 06 1995,4 Years,US,Minnesota,Undrafted NYR 2017,Boston Bruins
Rasmus Dahlin,https://www.spotrac.com/nhl/player/_/id/27037,11000000,12.50,8000000,5000000,2024,8,8,2032,88000000,UFA,24-165d,Apr 13 2000,5 Years,SE,Frolunda,Round 1 (#1 overall) 2018,Buffalo Sabres
Owen Power,https://www.spotrac.com/nhl/player/_/id/73753,8350000,9.49,6350000,2000000,2024,7,7,2031,58450000,UFA,21-307d,Nov 22 2002,2 Years,CA,Michigan,Round 1 (#1 overall) 2021,Buffalo Sabres
Tage Thompson,https://www.spotrac.com/nhl/player/_/id/20310,7142857,8.12,7142857,-,2023,7,6,2030,49999999,UFA,26-331d,Oct 30 1997,6 Years,US,Connecticut,Round 1 (#26 overall) 2016,Buffalo Sabres
Dylan Cozens,https://www.spotrac.com/nhl/player/_/id/31631,7100000,8.07,7100000,-,2023,7,6,2030,49700000,UFA,23-228d,Feb 09 2001,3 Years,CA,Lethbridge,Round 1 (#7 overall) 2019,Buffalo Sabres
Jason Zucker,https://www.spotrac.com/nhl/player/_/id/9384,5000000,5.68,5000000,-,2024,1,1,2025,5000000,UFA,32-255d,Jan 16 1992,12 Years,CA,Denver,Round 2 (#59 overall) 2010,Buffalo Sabres
Alex Tuch,https://www.spotrac.com/nhl/player/_/id/18929,4750000,5.40,4750000,-,2019,7,2,2026,33250000,UFA,28-139d,May 10 1996,7 Years,US,Boston College,Round 1 (#18 overall) 2014,Buffalo Sabres
Ukko-Pekka Luukkonen,https://www.spotrac.com/nhl/player/_/id/26583,4750000,5.40,2750000,2000000,2024,5,5,2029,23750000,UFA,25-201d,Mar 09 1999,3 Years,FI,HPK,Round 2 (#54 overall) 2017,Buffalo Sabres
Mattias Samuelsson,https://www.spotrac.com/nhl/player/_/id/27101,4285714,4.87,4285714,-,2023,7,6,2030,30000000,UFA,24-195d,Mar 14 2000,3 Years,US,USA U-18,Round 2 (#32 overall) 2018,Buffalo Sabres
Bowen Byram,https://www.spotrac.com/nhl/player/_/id/31628,3850000,4.38,4620000,-,2023,2,1,2025,7700000,RFA,23-104d,Jun 13 2001,3 Years,CA,Vancouver,Round 1 (#4 overall) 2019,Buffalo Sabres
Connor Clifton,https://www.spotrac.com/nhl/player/_/id/25723,3333333,3.79,3333333,-,2023,3,2,2026,10000000,UFA,29-152d,Apr 28 1995,5 Years,US,Providence,Undrafted BOS 2018,Buffalo Sabres
Henri Jokiharju,https://www.spotrac.com/nhl/player/_/id/23708,3100000,3.52,3100000,-,2024,1,1,2025,3100000,UFA,25-101d,Jun 17 1999,5 Years,FI,Portland,Round 1 (#29 overall) 2017,Buffalo Sabres
Jordan Greenway,https://www.spotrac.com/nhl/player/_/id/25046,3000000,3.41,3000000,-,2022,3,1,2025,9000000,UFA,27-222d,Feb 16 1997,6 Years,US,Boston,Round 2 (#50 overall) 2015,Buffalo Sabres
Ryan McLeod,https://www.spotrac.com/nhl/player/_/id/27109,2100000,2.39,2100000,-,2023,2,1,2025,4200000,RFA,24-5d,Sep 21 1999,3 Years,CA,Mississauga,Round 2 (#40 overall) 2018,Buffalo Sabres
Sam Lafferty,https://www.spotrac.com/nhl/player/_/id/25003,2000000,2.27,1000000,1000000,2024,2,2,2026,4000000,UFA,29-205d,Mar 06 1995,3 Years,US,Brown,Round 4 (#113 overall) 2014,Buffalo Sabres
Nicolas Aube-Kubel,https://www.spotrac.com/nhl/player/_/id/15885,1500000,1.70,1500000,-,2024,1,1,2025,1500000,UFA,28-139d,May 10 1996,4 Years,CA,Val-d'Or,Round 2 (#48 overall) 2014,Buffalo Sabres
Peyton Krebs,https://www.spotrac.com/nhl/player/_/id/31641,1450000,1.65,-,-,2024,2,2,2026,2900000,RFA,23-242d,Jan 26 2001,3 Years,CA,Kootenay,Round 1 (#17 overall) 2019,Buffalo Sabres
Beck Malenstyn,https://www.spotrac.com/nhl/player/_/id/20432,1350000,1.53,-,-,2024,2,2,2026,2700000,RFA,26-234d,Feb 04 1998,,CA,Calgary,Round 5 (#145 overall) 2016,Buffalo Sabres
James Reimer,https://www.spotrac.com/nhl/player/_/id/8033,1000000,1.14,1000000,-,2024,1,1,2025,1000000,UFA,36-197d,Mar 15 1988,13 Years,CA,Red Deer,Round 4 (#99 overall) 2006,Buffalo Sabres
Zach Benson,https://www.spotrac.com/nhl/player/_/id/84501,950000,1.08,855000,95000,2023,3,2,2026,4800000,RFA,19-135d,May 12 2005,,CA,,Round 1 (#13 overall) 2023,Buffalo Sabres
Devon Levi,https://www.spotrac.com/nhl/player/_/id/63073,925000,1.05,832500,92500,2022,3,1,2025,4700000,RFA,22-272d,Dec 27 2001,1 Years,CA,,Round 7 (#212 overall) 2020,Buffalo Sabres
Jacob Bryson,https://www.spotrac.com/nhl/player/_/id/27064,900000,1.02,900000,-,2024,1,1,2025,900000,UFA,26-312d,Nov 18 1997,3 Years,CA,Providence,Round 4 (#99 overall) 2017,Buffalo Sabres
Jack Quinn,https://www.spotrac.com/nhl/player/_/id/62865,863333,0.98,832500,-,2022,3,1,2025,5325000,RFA,23-6d,Sep 19 2001,2 Years,CA,,Round 1 (#8 overall) 2020,Buffalo Sabres
John-Jason Peterka,https://www.spotrac.com/nhl/player/_/id/62895,855833,0.97,832500,-,2022,3,1,2025,2775000,RFA,22-254d,Jan 14 2002,2 Years,DE,,Round 2 (#34 overall) 2020,Buffalo Sabres
Jonathan Huberdeau,https://www.spotrac.com/nhl/player/_/id/8418,10500000,11.93,3500000,7000000,2023,8,7,2031,84000000,UFA,31-116d,Jun 03 1993,11 Years,CA,Saint John,Round 1 (#3 overall) 2011,Calgary Flames
Nazem Kadri,https://www.spotrac.com/nhl/player/_/id/8413,7000000,7.95,4500000,2500000,2022,7,5,2029,49000000,UFA,33-357d,Oct 06 1990,14 Years,CA,Kitchener,Round 1 (#7 overall) 2009,Calgary Flames
MacKenzie Weegar,https://www.spotrac.com/nhl/player/_/id/15278,6250000,7.10,4250000,2000000,2023,8,7,2031,50000000,UFA,30-263d,Jan 07 1994,7 Years,CA,Halifax,Round 7 (#206 overall) 2013,Calgary Flames
Andrei Kuzmenko,https://www.spotrac.com/nhl/player/_/id/78104,5500000,6.25,4500000,1000000,2023,2,1,2025,11000000,UFA,28-235d,Feb 04 1996,,RU,,Undrafted VAN 2022,Calgary Flames
Blake Coleman,https://www.spotrac.com/nhl/player/_/id/17953,4900000,5.57,4900000,-,2021,6,3,2027,29400000,UFA,32-304d,Nov 28 1991,7 Years,US,Miami (OH),Round 3 (#74 overall) 2011,Calgary Flames
Rasmus Andersson,https://www.spotrac.com/nhl/player/_/id/18225,4550000,5.17,4550000,-,2020,6,2,2026,27300000,UFA,27-334d,Oct 27 1996,7 Years,SE,Malmo,Round 2 (#53 overall) 2015,Calgary Flames
Mikael Backlund,https://www.spotrac.com/nhl/player/_/id/7127,4500000,5.11,4500000,-,2024,2,2,2026,9000000,UFA,35-195d,Mar 17 1989,15 Years,SE,Vasteras,Round 1 (#24 overall) 2007,Calgary Flames
Anthony Mantha,https://www.spotrac.com/nhl/player/_/id/13646,3500000,3.98,3500000,-,2024,1,1,2025,3500000,UFA,30-11d,Sep 16 1994,7 Years,CA,Val-d'Or,Round 1 (#20 overall) 2013,Calgary Flames
Yegor Sharangovich,https://www.spotrac.com/nhl/player/_/id/27212,3100000,3.52,3100000,-,2025,5,6,2030,28750000,UFA,26-112d,Jun 06 1998,3 Years,BY,Dynamo Minsk,Round 5 (#141 overall) 2018,Calgary Flames
Daniel Vladar,https://www.spotrac.com/nhl/player/_/id/18946,2200000,2.50,2200000,-,2023,2,1,2025,4400000,UFA,27-37d,Aug 20 1997,3 Years,CZ,,Round 3 (#75 overall) 2015,Calgary Flames
Ryan Lomberg,https://www.spotrac.com/nhl/player/_/id/21661,2000000,2.27,1500000,500000,2024,2,2,2026,4000000,UFA,29-292d,Dec 09 1994,4 Years,CA,Maine,,Calgary Flames
Jake Bean,https://www.spotrac.com/nhl/player/_/id/20295,1750000,1.99,1750000,-,2024,2,2,2026,3500000,UFA,26-109d,Jun 09 1998,4 Years,CA,Calgary,Round 1 (#13 overall) 2016,Calgary Flames
Kevin Rooney,https://www.spotrac.com/nhl/player/_/id/21576,1300000,1.48,1300000,-,2024,1,1,2025,1300000,UFA,31-129d,May 21 1993,6 Years,US,Providence,Undrafted NJD 2017,Calgary Flames
Daniil Miromanov,https://www.spotrac.com/nhl/player/_/id/72082,1250000,1.42,1250000,-,2024,2,2,2026,2500000,UFA,27-77d,Jul 11 1997,,RU,,Undrafted VGK 2021,Calgary Flames
Kevin Bahl,https://www.spotrac.com/nhl/player/_/id/27124,1050000,1.19,1200000,-,2023,2,1,2025,2100000,RFA,24-90d,Jun 27 2000,2 Years,CA,Ottawa,Round 2 (#55 overall) 2018,Calgary Flames
Martin Pospisil,https://www.spotrac.com/nhl/player/_/id/27175,1000000,1.14,1000000,-,2024,2,2,2026,2000000,RFA,24-311d,Nov 19 1999,,SK,Sioux City Musketeers,Round 4 (#105 overall) 2018,Calgary Flames
Matthew Coronato,https://www.spotrac.com/nhl/player/_/id/73767,925000,1.05,832500,92500,2022,3,1,2025,4475000,RFA,21-315d,Nov 14 2002,1 Years,US,Chicago (USHL),Round 1 (#13 overall) 2021,Calgary Flames
Connor Zary,https://www.spotrac.com/nhl/player/_/id/62881,863333,0.98,832500,-,2022,3,1,2025,3200000,RFA,22-0d,Sep 25 2001,,CA,,Round 1 (#24 overall) 2020,Calgary Flames
Dustin Wolf,https://www.spotrac.com/nhl/player/_/id/31838,850000,0.97,850000,-,2024,2,2,2026,1700000,RFA,23-162d,Apr 16 2001,,US,Everett,Round 7 (#214 overall) 2019,Calgary Flames
Walker Duehr,https://www.spotrac.com/nhl/player/_/id/72246,825000,0.94,875000,-,2023,2,1,2025,1650000,UFA,26-307d,Nov 23 1997,2 Years,US,,Undrafted CGY 2021,Calgary Flames
Joel Hanley,https://www.spotrac.com/nhl/player/_/id/18005,787500,0.89,800000,-,2023,2,1,2025,1575000,UFA,33-112d,Jun 08 1991,8 Years,US,Massachusetts,Undrafted MTL 2015,Calgary Flames
Dryden Hunt,https://www.spotrac.com/nhl/player/_/id/18788,775000,0.88,775000,-,2023,2,1,2025,1550000,UFA,28-307d,Nov 24 1995,6 Years,CA,Regina,,Calgary Flames
Brayden Pachal,https://www.spotrac.com/nhl/player/_/id/71115,775000,0.88,775000,-,2023,2,1,2025,1550000,RFA,25-34d,Aug 23 1999,,CA,,,Calgary Flames
Sebastian Aho,https://www.spotrac.com/nhl/player/_/id/19956,9750000,11.08,10000000,2000000,2024,8,8,2032,78000000,UFA,27-62d,Jul 26 1997,7 Years,FI,Karpat,Undrafted CAR 2016,Carolina Hurricanes
Andrei Svechnikov,https://www.spotrac.com/nhl/player/_/id/27038,7750000,8.81,9000000,-,2021,8,5,2029,62000000,UFA,24-183d,Mar 26 2000,5 Years,RU,Barrie,Round 1 (#2 overall) 2018,Carolina Hurricanes
Dmitry Orlov,https://www.spotrac.com/nhl/player/_/id/8756,7750000,8.81,7750000,-,2023,2,1,2025,15500000,UFA,33-67d,Jul 23 1991,11 Years,RU,Novokuznetsk,Round 2 (#55 overall) 2009,Carolina Hurricanes
Seth Jarvis,https://www.spotrac.com/nhl/player/_/id/62870,7420087,8.43,2000000,8950000,2024,8,8,2032,63200000,UFA,22-236d,Feb 01 2002,2 Years,CA,,Round 1 (#13 overall) 2020,Carolina Hurricanes
Martin Necas,https://www.spotrac.com/nhl/player/_/id/23691,6500000,7.39,3000000,3000000,2024,2,2,2026,13000000,UFA,25-254d,Jan 15 1999,6 Years,CZ,Brno,Round 1 (#12 overall) 2017,Carolina Hurricanes
Jaccob Slavin,https://www.spotrac.com/nhl/player/_/id/17956,5300000,6.02,5200000,-,2025,8,9,2033,51690000,UFA,30-149d,May 01 1994,8 Years,US,Colorado College,Round 4 (#120 overall) 2012,Carolina Hurricanes
Brent Burns,https://www.spotrac.com/nhl/player/_/id/1796,8000000,9.09,3000000,2000000,2017,8,1,2025,64000000,UFA,39-204d,Mar 09 1985,19 Years,CA,Brampton,Round 1 (#20 overall) 2003,Carolina Hurricanes
Jesperi Kotkaniemi,https://www.spotrac.com/nhl/player/_/id/27039,4820000,5.48,4820000,-,2022,8,6,2030,38560000,UFA,24-81d,Jul 06 2000,5 Years,FI,Assat Pori,Round 1 (#3 overall) 2018,Carolina Hurricanes
Sean Walker,https://www.spotrac.com/nhl/player/_/id/27352,3600000,4.09,4000000,1000000,2024,5,5,2029,18000000,UFA,29-318d,Nov 13 1994,4 Years,CA,Bowling Green,Undrafted LAK 2018,Carolina Hurricanes
Frederik Andersen,https://www.spotrac.com/nhl/player/_/id/10994,3400000,3.86,3100000,-,2023,2,1,2025,6800000,UFA,34-361d,Oct 02 1989,10 Years,DK,Frederikshavn,Round 3 (#87 overall) 2012,Carolina Hurricanes
Shayne Gostisbehere,https://www.spotrac.com/nhl/player/_/id/15249,3200000,3.64,3000000,1000000,2024,3,3,2027,9600000,UFA,31-160d,Apr 20 1993,9 Years,US,Union,Round 3 (#78 overall) 2012,Carolina Hurricanes
Jordan Martinook,https://www.spotrac.com/nhl/player/_/id/10804,3050000,3.47,1000000,2800000,2024,3,3,2027,9150000,UFA,32-64d,Jul 25 1992,9 Years,CA,Vancouver,Round 2 (#58 overall) 2012,Carolina Hurricanes
Jalen Chatfield,https://www.spotrac.com/nhl/player/_/id/21642,3000000,3.41,1000000,2750000,2024,3,3,2027,9000000,UFA,28-133d,May 16 1996,3 Years,US,Windsor,,Carolina Hurricanes
Jordan Staal,https://www.spotrac.com/nhl/player/_/id/2028,2900000,3.30,3410000,-,2023,4,3,2027,11600000,UFA,36-18d,Sep 10 1988,17 Years,CA,Peterborough,Round 1 (#2 overall) 2006,Carolina Hurricanes
Jack Roslovic,https://www.spotrac.com/nhl/player/_/id/20888,2800000,3.18,2800000,-,2024,1,1,2025,2800000,UFA,27-240d,Jan 29 1997,7 Years,US,Miami (OH),Round 1 (#25 overall) 2015,Carolina Hurricanes
Jesper Fast,https://www.spotrac.com/nhl/player/_/id/10713,2400000,2.73,2400000,-,2023,2,1,2025,4800000,UFA,32-300d,Dec 02 1991,10 Years,SE,HV 71,Round 6 (#157 overall) 2010,Carolina Hurricanes
Pyotr Kochetkov,https://www.spotrac.com/nhl/player/_/id/31660,2000000,2.27,1750000,-,2023,4,3,2027,8000000,UFA,25-93d,Jun 25 1999,,RU,Ryazan,Round 2 (#36 overall) 2019,Carolina Hurricanes
William Carrier,https://www.spotrac.com/nhl/player/_/id/13498,2000000,2.27,1000000,1500000,2024,6,6,2030,12000000,UFA,29-281d,Dec 20 1994,6 Years,CA,Cape Breton,Round 2 (#57 overall) 2013,Carolina Hurricanes
Jack Drury,https://www.spotrac.com/nhl/player/_/id/27111,1725000,1.96,775000,1000000,2024,2,2,2026,3450000,RFA,24-235d,Feb 03 2000,2 Years,US,Waterloo,Round 2 (#42 overall) 2018,Carolina Hurricanes
Eric Robinson,https://www.spotrac.com/nhl/player/_/id/25053,950000,1.08,950000,-,2024,1,1,2025,950000,UFA,29-105d,Jun 14 1995,6 Years,US,Princeton,Undrafted CBJ 2018,Carolina Hurricanes
Tyson Jost,https://www.spotrac.com/nhl/player/_/id/20292,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,26-196d,Mar 14 1998,7 Years,CA,Penticton,Round 1 (#10 overall) 2016,Carolina Hurricanes
Brendan Lemieux,https://www.spotrac.com/nhl/player/_/id/17964,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,28-195d,Mar 15 1996,6 Years,US,Barrie,Round 2 (#31 overall) 2014,Carolina Hurricanes
Riley Stillman,https://www.spotrac.com/nhl/player/_/id/20401,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,26-201d,Mar 09 1998,4 Years,CA,Oshawa,Round 4 (#114 overall) 2016,Carolina Hurricanes
Seth Jones,https://www.spotrac.com/nhl/player/_/id/13407,9500000,10.80,7500000,5000000,2022,8,6,2030,76000000,UFA,29-359d,Oct 03 1994,10 Years,US,Portland,Round 1 (#4 overall) 2013,Chicago Blackhawks
Taylor Hall,https://www.spotrac.com/nhl/player/_/id/6944,6000000,6.82,5250000,-,2021,4,1,2025,24000000,UFA,32-318d,Nov 14 1991,13 Years,CA,Windsor,Round 1 (#1 overall) 2010,Chicago Blackhawks
Tyler Bertuzzi,https://www.spotrac.com/nhl/player/_/id/15903,5500000,6.25,2000000,5000000,2024,4,4,2028,22000000,UFA,29-215d,Feb 24 1995,6 Years,CA,Guelph,Round 2 (#58 overall) 2013,Chicago Blackhawks
Teuvo Teravainen,https://www.spotrac.com/nhl/player/_/id/10765,5400000,6.14,2000000,4200000,2024,3,3,2027,16200000,UFA,30-16d,Sep 11 1994,10 Years,FI,Jokerit,Round 1 (#18 overall) 2012,Chicago Blackhawks
Alex Vlasic,https://www.spotrac.com/nhl/player/_/id/31667,4600000,5.23,1500000,4500000,2024,6,6,2030,27600000,UFA,23-112d,Jun 05 2001,2 Years,US,USA U-18,Round 2 (#43 overall) 2019,Chicago Blackhawks
