player,Position,cps,url,cap_hit,cap_hit_pct,base_salary,signing_bonus,contract_start_year,contract_years_signed,contract_years_left,free_agent_year,salary_signed,status_after_contract,age,birthday,experience,country,college,drafted,team_name
Evan Bouchard,D,0.555010533588471,https://www.spotrac.com/nhl/player/_/id/27049,3900000,4.43,4300000,-,2023,2,1,2025,7800000,RFA,24-341d,Oct 20 1999,4 Years,CA,London,Round 1 (#10 overall) 2018,Edmonton Oilers
Steven Stamkos,C,0.5051048323327004,https://www.spotrac.com/nhl/player/_/id/4918,8000000,9.09,7500000,2000000,2024,4,4,2028,32000000,UFA,34-233d,Feb 07 1990,14 Years,CA,Sarnia,Round 1 (#1 overall) 2008,Nashville Predators
Aleksander Barkov,C,0.5541344871822044,https://www.spotrac.com/nhl/player/_/id/13413,10000000,11.36,1000000,11000000,2022,8,6,2030,80000000,UFA,29-25d,Sep 02 1995,9 Years,FI,Tappara,Round 1 (#2 overall) 2013,Florida Panthers
Mathew Barzal,C,0.5419489263573048,https://www.spotrac.com/nhl/player/_/id/18208,9150000,10.4,9150000,-,2023,8,7,2031,73200000,UFA,27-123d,May 26 1997,6 Years,CA,Seattle,Round 1 (#16 overall) 2015,New York Islanders
Jason Robertson,L,0.5496414188204796,https://www.spotrac.com/nhl/player/_/id/23758,7750000,8.81,9200000,-,2022,4,2,2026,31000000,RFA,25-66d,Jul 22 1999,4 Years,US,Kingston,Round 2 (#39 overall) 2017,Dallas Stars
Zach Hyman,L,0.6726554882521592,https://www.spotrac.com/nhl/player/_/id/17827,5500000,6.25,7700000,-,2021,7,4,2028,38500000,UFA,32-110d,Jun 09 1992,8 Years,CA,Michigan,Round 5 (#123 overall) 2010,Edmonton Oilers
Vincent Trocheck,C,0.5755870560025282,https://www.spotrac.com/nhl/player/_/id/10602,5625000,6.39,3375000,3000000,2022,7,5,2029,39375000,UFA,31-78d,Jul 11 1993,9 Years,US,Saginaw,Round 3 (#64 overall) 2011,New York Rangers
Jake Guentzel,L,0.5521625449306293,https://www.spotrac.com/nhl/player/_/id/19879,9000000,10.23,1000000,12263157,2024,7,7,2031,63000000,UFA,29-356d,Oct 06 1994,6 Years,US,Nebraska-Omaha,Round 3 (#77 overall) 2013,Tampa Bay Lightning
Nick Suzuki,C,0.5232199464944545,https://www.spotrac.com/nhl/player/_/id/23692,7875000,8.95,10000000,-,2022,8,6,2030,63000000,UFA,25-47d,Aug 10 1999,3 Years,CA,Owen Sound,Round 1 (#13 overall) 2017,Montreal Canadiens
Victor Hedman,D,0.4951896862585614,https://www.spotrac.com/nhl/player/_/id/6373,7875000,8.95,7000000,-,2025,4,5,2029,32000000,UFA,33-284d,Dec 18 1990,13 Years,SE,MODO,Round 1 (#2 overall) 2009,Tampa Bay Lightning
Clayton Keller,R,0.5241743836689003,https://www.spotrac.com/nhl/player/_/id/20288,7150000,8.13,7000000,-,2020,8,4,2028,57200000,UFA,26-59d,Jul 29 1998,7 Years,US,USA U-18,Round 1 (#7 overall) 2016,Utah Hockey Club
Gustav Nyquist,C,0.4688202888648662,https://www.spotrac.com/nhl/player/_/id/11662,3185000,3.62,3185000,-,2023,2,1,2025,6370000,UFA,35-28d,Aug 31 1989,10 Years,SE,Maine,Round 4 (#121 overall) 2008,Nashville Predators
Nazem Kadri,C,0.5358238455213387,https://www.spotrac.com/nhl/player/_/id/8413,7000000,7.95,4500000,2500000,2022,7,5,2029,49000000,UFA,33-357d,Oct 06 1990,14 Years,CA,Kitchener,Round 1 (#7 overall) 2009,Calgary Flames
Chris Kreider,L,0.5932264780452895,https://www.spotrac.com/nhl/player/_/id/9372,6500000,7.39,5000000,-,2020,7,3,2027,45500000,UFA,33-151d,Apr 30 1991,10 Years,US,Boston College,Round 1 (#19 overall) 2009,New York Rangers
Adrian Kempe,R,0.5310887507743276,https://www.spotrac.com/nhl/player/_/id/16678,5500000,6.25,5500000,-,2022,4,2,2026,22000000,UFA,28-13d,Sep 13 1996,6 Years,SE,Ontario,Round 1 (#29 overall) 2014,Los Angeles Kings
Brandon Hagel,L,0.5217308605633452,https://www.spotrac.com/nhl/player/_/id/20446,6500000,7.39,1820000,7180000,2024,8,8,2032,52000000,UFA,26-30d,Aug 27 1998,3 Years,CA,Red Deer,Round 6 (#159 overall) 2016,Tampa Bay Lightning
Brady Tkachuk,L,0.6083963590875195,https://www.spotrac.com/nhl/player/_/id/27040,8205714,9.32,10500000,-,2021,7,4,2028,57500000,UFA,25-10d,Sep 16 1999,4 Years,US,Boston,Round 1 (#4 overall) 2018,Ottawa Senators
Jack Hughes,C,0.4858562772532489,https://www.spotrac.com/nhl/player/_/id/31625,8000000,9.09,8500000,-,2022,8,6,2030,64000000,UFA,23-134d,May 14 2001,3 Years,US,USA U-18,Round 1 (#1 overall) 2019,New Jersey Devils
Kevin Fiala,L,0.5250022809658066,https://www.spotrac.com/nhl/player/_/id/15583,7875000,8.95,5500000,3250000,2022,7,5,2029,55125000,UFA,28-66d,Jul 22 1996,8 Years,CH,HV 71,Round 1 (#11 overall) 2014,Los Angeles Kings
Brock Boeser,R,0.5718096915783332,https://www.spotrac.com/nhl/player/_/id/21671,6650000,7.56,6650000,-,2022,3,1,2025,19950000,UFA,27-213d,Feb 25 1997,6 Years,US,North Dakota,Round 1 (#23 overall) 2015,Vancouver Canucks
Adam Fox,D,0.4851208826084376,https://www.spotrac.com/nhl/player/_/id/20351,9500000,10.8,12000000,-,2022,7,5,2029,66500000,UFA,26-221d,Feb 17 1998,3 Years,US,USA U-18,Round 2 (#66 overall) 2016,New York Rangers
Mika Zibanejad,C,0.5240681115539942,https://www.spotrac.com/nhl/player/_/id/8254,8500000,9.66,1000000,9500000,2022,8,6,2030,68000000,UFA,31-162d,Apr 18 1993,11 Years,SE,Djurgarden,Round 1 (#6 overall) 2011,New York Rangers
Mark Scheifele,C,0.5087320568955017,https://www.spotrac.com/nhl/player/_/id/8428,8500000,9.66,5000000,5000000,2024,7,7,2031,59500000,UFA,31-196d,Mar 15 1993,11 Years,CA,Barrie,Round 1 (#7 overall) 2011,Winnipeg Jets
Carter Verhaeghe,C,0.515020329477423,https://www.spotrac.com/nhl/player/_/id/17938,4166667,4.73,4500000,-,2022,3,1,2025,12500000,UFA,29-44d,Aug 14 1995,3 Years,CA,,Round 3 (#82 overall) 2013,Florida Panthers
Lucas Raymond,L,0.4876284488389022,https://www.spotrac.com/nhl/player/_/id/62861,8075000,9.18,8075000,-,2024,8,8,2032,64600000,UFA,22-181d,Mar 28 2002,2 Years,SE,,Round 1 (#4 overall) 2020,Detroit Red Wings
Anze Kopitar,C,0.5082973170948331,https://www.spotrac.com/nhl/player/_/id/1765,7000000,7.95,775000,6225000,2024,2,2,2026,14000000,UFA,37-37d,Aug 23 1987,16 Years,SI,Sodertalje SK,Round 1 (#11 overall) 2005,Los Angeles Kings
Noah Dobson,D,0.5771443587554388,https://www.spotrac.com/nhl/player/_/id/27051,4000000,4.55,4000000,-,2022,3,1,2025,12000000,RFA,24-262d,Jan 07 2000,3 Years,CA,Acadie-Bathurst,Round 1 (#12 overall) 2018,New York Islanders
Tim Stützle,C,0.4667255707667561,https://www.spotrac.com/nhl/player/_/id/62860,8350000,9.49,6500000,-,2023,8,7,2031,66800000,UFA,22-253d,Jan 15 2002,2 Years,DE,,Round 1 (#3 overall) 2020,Ottawa Senators
Ryan O'Reilly,C,0.5417176223981763,https://www.spotrac.com/nhl/player/_/id/6353,4500000,5.11,5000000,-,2023,4,3,2027,18000000,UFA,33-233d,Feb 07 1991,13 Years,CA,Erie,Round 2 (#33 overall) 2009,Nashville Predators
Brock Nelson,C,0.4990377733646234,https://www.spotrac.com/nhl/player/_/id/9379,6000000,6.82,4000000,-,2019,6,1,2025,36000000,UFA,32-348d,Oct 15 1991,9 Years,US,North Dakota,Round 1 (#30 overall) 2010,New York Islanders
Jonathan Marchessault,R,0.5571391147658868,https://www.spotrac.com/nhl/player/_/id/16608,5500000,6.25,4000000,3000000,2024,5,5,2029,27500000,UFA,33-275d,Dec 27 1990,9 Years,CA,Quebec,Undrafted CBJ 2012,Nashville Predators
Dylan Larkin,C,0.5123402830206749,https://www.spotrac.com/nhl/player/_/id/17910,8700000,9.89,11000000,-,2023,8,7,2031,69600000,UFA,28-58d,Jul 30 1996,8 Years,US,Michigan,Round 1 (#15 overall) 2014,Detroit Red Wings
Bo Horvat,C,0.5082606873348628,https://www.spotrac.com/nhl/player/_/id/13476,8500000,9.66,8500000,-,2023,8,7,2031,68000000,UFA,29-175d,Apr 05 1995,8 Years,CA,London,Round 1 (#9 overall) 2013,New York Islanders
Jack Eichel,C,0.4978466393798909,https://www.spotrac.com/nhl/player/_/id/17892,10000000,11.36,10000000,-,2018,8,2,2026,80000000,UFA,27-333d,Oct 28 1996,7 Years,US,Boston,Round 1 (#2 overall) 2015,Vegas Golden Knights
Travis Konecny,R,0.5364365459172383,https://www.spotrac.com/nhl/player/_/id/18007,5500000,6.25,4000000,3000000,2025,8,9,2033,70000000,UFA,27-199d,Mar 11 1997,6 Years,CA,Ottawa,Round 1 (#24 overall) 2015,Philadelphia Flyers
Evgeni Malkin,C,0.545619796598047,https://www.spotrac.com/nhl/player/_/id/2024,6100000,6.93,5600000,-,2022,4,2,2026,24400000,UFA,38-60d,Jul 31 1986,16 Years,RU,Magnitogorsk,Round 1 (#2 overall) 2004,Pittsburgh Penguins
Brad Marchand,L,0.5140636414155796,https://www.spotrac.com/nhl/player/_/id/7125,6125000,6.96,1000000,3000000,2017,8,1,2025,49000000,UFA,36-140d,May 11 1988,14 Years,CA,Moncton,Round 3 (#71 overall) 2006,Boston Bruins
Ryan Nugent-Hopkins,C,0.505221800133056,https://www.spotrac.com/nhl/player/_/id/8182,5125000,5.82,6250000,-,2021,8,5,2029,41000000,UFA,31-168d,Apr 12 1993,12 Years,CA,Red Deer,Round 1 (#1 overall) 2011,Edmonton Oilers
Dylan Strome,C,0.4753039138650348,https://www.spotrac.com/nhl/player/_/id/17894,5000000,5.68,4000000,2000000,2023,5,4,2028,25000000,UFA,27-203d,Mar 07 1997,6 Years,CA,Erie,Round 1 (#3 overall) 2015,Washington Capitals
Jordan Kyrou,C,0.4775338487690594,https://www.spotrac.com/nhl/player/_/id/20320,8125000,9.23,10900000,-,2023,8,7,2031,65000000,UFA,26-144d,May 05 1998,4 Years,CA,Sarnia,Round 2 (#35 overall) 2016,St. Louis Blues
Nico Hischier,C,0.5029264070659183,https://www.spotrac.com/nhl/player/_/id/23680,7250000,8.24,7750000,-,2020,7,3,2027,50570000,UFA,25-265d,Jan 04 1999,5 Years,CH,Halifax,Round 1 (#1 overall) 2017,New Jersey Devils
Seth Jarvis,C,0.5325522572449023,https://www.spotrac.com/nhl/player/_/id/62870,7420087,8.43,2000000,8950000,2024,8,8,2032,63200000,UFA,22-236d,Feb 01 2002,2 Years,CA,,Round 1 (#13 overall) 2020,Carolina Hurricanes
Drake Batherson,R,0.4940991873618002,https://www.spotrac.com/nhl/player/_/id/24515,4975000,5.65,5400000,-,2021,6,3,2027,29850000,UFA,26-152d,Apr 27 1998,4 Years,US,Cape Breton,Round 4 (#121 overall) 2017,Ottawa Senators
Alex Ovechkin,L,0.5360045338145054,https://www.spotrac.com/nhl/player/_/id/2179,9500000,10.8,5000000,6000000,2021,5,2,2026,47500000,UFA,39-12d,Sep 17 1985,17 Years,RU,Dynamo Moscow,Round 1 (#1 overall) 2004,Washington Capitals
John Tavares,C,0.5227597874336474,https://www.spotrac.com/nhl/player/_/id/6407,11000000,12.5,910000,7040000,2018,7,1,2025,77000000,UFA,34-9d,Sep 19 1990,13 Years,CA,Oshawa,Round 1 (#1 overall) 2009,Toronto Maple Leafs
Matt Duchene,C,0.4779393185885375,https://www.spotrac.com/nhl/player/_/id/6352,3000000,3.41,3000000,-,2024,1,1,2025,3000000,UFA,33-255d,Jan 16 1991,14 Years,CA,Brampton,Round 1 (#3 overall) 2009,Dallas Stars
Roope Hintz,C,0.4960938648055595,https://www.spotrac.com/nhl/player/_/id/22492,8450000,9.6,8250000,3000000,2023,8,7,2031,67600000,UFA,27-313d,Nov 17 1996,5 Years,FI,HIFK,Round 2 (#49 overall) 2015,Dallas Stars
Cole Caufield,R,0.5462734494977767,https://www.spotrac.com/nhl/player/_/id/31639,7850000,8.92,4975000,5000000,2023,8,7,2031,62800000,UFA,23-266d,Jan 02 2001,2 Years,US,USA U-18,Round 1 (#15 overall) 2019,Montreal Canadiens
Wyatt Johnston,C,0.5069840316201245,https://www.spotrac.com/nhl/player/_/id/73777,894167,1.02,832500,-,2022,3,1,2025,3093750,RFA,21-134d,May 14 2003,1 Years,CA,Windsor,Round 1 (#23 overall) 2021,Dallas Stars
Claude Giroux,R,0.4714753143071376,https://www.spotrac.com/nhl/player/_/id/6228,6500000,7.39,5500000,-,2022,3,1,2025,19500000,UFA,36-260d,Jan 12 1988,15 Years,CA,Gatineau,Round 1 (#22 overall) 2006,Ottawa Senators
Joel Eriksson Ek,C,0.5404302422167085,https://www.spotrac.com/nhl/player/_/id/17993,5250000,5.97,9000000,-,2021,8,5,2029,42000000,UFA,27-240d,Jan 29 1997,6 Years,SE,Farjestad,Round 1 (#20 overall) 2015,Minnesota Wild
Pavel Buchnevich,L,0.508654976664771,https://www.spotrac.com/nhl/player/_/id/19801,5800000,6.59,6300000,-,2025,6,7,2031,48000000,UFA,29-163d,Apr 17 1995,6 Years,RU,Cherepovets Severstal,Round 3 (#75 overall) 2013,St. Louis Blues
Jared McCann,L,0.4715881163710779,https://www.spotrac.com/nhl/player/_/id/15611,5000000,5.68,5500000,-,2022,5,3,2027,25000000,UFA,28-118d,May 31 1996,7 Years,CA,Soo,Round 1 (#24 overall) 2014,Seattle Kraken
Nikolaj Ehlers,L,0.4788557981904913,https://www.spotrac.com/nhl/player/_/id/15820,6000000,6.82,6750000,-,2018,7,1,2025,42000000,UFA,28-225d,Feb 14 1996,7 Years,DK,Biel,Round 1 (#9 overall) 2014,Winnipeg Jets
Nick Schmaltz,C,0.4638999411016308,https://www.spotrac.com/nhl/player/_/id/20148,5850000,6.65,6950000,1500000,2019,7,2,2026,40950000,UFA,28-216d,Feb 23 1996,7 Years,US,North Dakota,Round 1 (#20 overall) 2014,Utah Hockey Club
Kyle Connor,L,0.4727535662578536,https://www.spotrac.com/nhl/player/_/id/18921,7142857,8.12,7500000,-,2019,7,2,2026,50000000,UFA,27-291d,Dec 09 1996,6 Years,US,Michigan,Round 1 (#17 overall) 2015,Winnipeg Jets
Connor Bedard,C,0.4040912887509593,https://www.spotrac.com/nhl/player/_/id/84489,950000,1.08,855000,95000,2023,3,2,2026,13350000,RFA,19-69d,Jul 17 2005,,CA,,Round 1 (#1 overall) 2023,Chicago Blackhawks
Jamie Benn,L,0.4276402873372572,https://www.spotrac.com/nhl/player/_/id/6357,9500000,10.8,1000000,5500000,2017,8,1,2025,76000000,UFA,35-73d,Jul 17 1989,14 Years,CA,Kelowna,Round 5 (#129 overall) 2007,Dallas Stars
Charlie Coyle,C,0.4754315177597215,https://www.spotrac.com/nhl/player/_/id/8824,5250000,5.97,4500000,-,2020,6,2,2026,31500000,UFA,32-209d,Mar 02 1992,11 Years,US,Boston,Round 1 (#28 overall) 2010,Boston Bruins
Mikael Granlund,C,0.4051835450208249,https://www.spotrac.com/nhl/player/_/id/10646,5000000,5.68,5000000,-,2021,4,1,2025,20000000,UFA,32-214d,Feb 26 1992,10 Years,FI,HIFK,Round 1 (#9 overall) 2010,San Jose Sharks
William Karlsson,C,0.4762502224643463,https://www.spotrac.com/nhl/player/_/id/13162,5900000,6.7,5600000,-,2019,8,3,2027,47200000,UFA,31-262d,Jan 08 1993,8 Years,SE,Vasteras,Round 2 (#53 overall) 2011,Vegas Golden Knights
Frank Vatrano,R,0.5085829239731798,https://www.spotrac.com/nhl/player/_/id/16480,3650000,4.15,3650000,-,2022,3,1,2025,10950000,UFA,30-197d,Mar 14 1994,8 Years,US,Massachusetts,Undrafted BOS 2015,Anaheim Ducks
Oliver Bjorkstrand,R,0.4297372773568682,https://www.spotrac.com/nhl/player/_/id/13781,5400000,6.14,5900000,-,2021,5,2,2026,27000000,UFA,29-170d,Apr 10 1995,7 Years,DK,Herning,Round 3 (#89 overall) 2013,Seattle Kraken
Sean Monahan,C,0.4810061873907542,https://www.spotrac.com/nhl/player/_/id/13439,5500000,6.25,5500000,1500000,2024,5,5,2029,27500000,UFA,29-350d,Oct 12 1994,10 Years,CA,Ottawa,Round 1 (#6 overall) 2013,Columbus Blue Jackets
Alex Tuch,R,0.4647490405281236,https://www.spotrac.com/nhl/player/_/id/18929,4750000,5.4,4750000,-,2019,7,2,2026,33250000,UFA,28-139d,May 10 1996,7 Years,US,Boston College,Round 1 (#18 overall) 2014,Buffalo Sabres
Pavel Zacha,C,0.4478356005063706,https://www.spotrac.com/nhl/player/_/id/18112,4750000,5.4,3750000,1000000,2023,4,3,2027,19000000,UFA,27-173d,Apr 06 1997,8 Years,CZ,Sarnia,Round 1 (#6 overall) 2015,Boston Bruins
Rasmus Dahlin,D,0.6097277319309424,https://www.spotrac.com/nhl/player/_/id/27037,11000000,12.5,8000000,5000000,2024,8,8,2032,88000000,UFA,24-165d,Apr 13 2000,5 Years,SE,Frolunda,Round 1 (#1 overall) 2018,Buffalo Sabres
Yegor Sharangovich,C,0.4261391069457677,https://www.spotrac.com/nhl/player/_/id/27212,3100000,3.52,3100000,-,2025,5,6,2030,28750000,UFA,26-112d,Jun 06 1998,3 Years,BY,Dynamo Minsk,Round 5 (#141 overall) 2018,Calgary Flames
Morgan Rielly,D,0.4908543197457281,https://www.spotrac.com/nhl/player/_/id/10752,7500000,8.52,10000000,-,2022,8,6,2030,60000000,UFA,30-202d,Mar 09 1994,9 Years,CA,Moose Jaw,Round 1 (#5 overall) 2012,Toronto Maple Leafs
Trevor Moore,L,0.5123865019682476,https://www.spotrac.com/nhl/player/_/id/20913,4200000,4.77,4500000,-,2023,5,4,2028,21000000,UFA,29-180d,Mar 31 1995,4 Years,US,Denver,Undrafted TOR 2016,Los Angeles Kings
Casey Mittelstadt,C,0.4367506118403176,https://www.spotrac.com/nhl/player/_/id/23687,5750000,6.53,5750000,-,2024,3,3,2027,17250000,UFA,25-308d,Nov 22 1998,6 Years,US,Minnesota,Round 1 (#8 overall) 2017,Colorado Avalanche
Matias Maccelli,L,0.4064395767069544,https://www.spotrac.com/nhl/player/_/id/31722,3425000,3.89,3025000,-,2023,3,2,2026,10275000,RFA,23-346d,Oct 14 2000,2 Years,FI,Dubuque,Round 4 (#98 overall) 2019,Utah Hockey Club
Alexis Lafrenière,L,0.4750884730433241,https://www.spotrac.com/nhl/player/_/id/62858,2325000,2.64,2650000,-,2023,2,1,2025,4650000,RFA,22-349d,Oct 11 2001,2 Years,CA,,Round 1 (#1 overall) 2020,New York Rangers
Erik Karlsson,D,0.5197699945246725,https://www.spotrac.com/nhl/player/_/id/6396,11500000,13.07,10000000,1000000,2019,8,3,2027,92000000,UFA,34-121d,May 30 1990,13 Years,SE,Frolunda,Round 1 (#15 overall) 2008,Pittsburgh Penguins
Bryan Rust,R,0.4452769221245585,https://www.spotrac.com/nhl/player/_/id/16137,5125000,5.82,5125000,-,2022,6,4,2028,30750000,UFA,32-139d,May 11 1992,8 Years,US,Notre Dame,Round 3 (#80 overall) 2010,Pittsburgh Penguins
Shayne Gostisbehere,D,0.357174356939702,https://www.spotrac.com/nhl/player/_/id/15249,3200000,3.64,3000000,1000000,2024,3,3,2027,9600000,UFA,31-160d,Apr 20 1993,9 Years,US,Union,Round 3 (#78 overall) 2012,Carolina Hurricanes
Jonathan Drouin,L,0.4195256999580107,https://www.spotrac.com/nhl/player/_/id/13390,2500000,2.84,2500000,-,2024,1,1,2025,2500000,UFA,29-184d,Mar 27 1995,9 Years,CA,Halifax,Round 1 (#3 overall) 2013,Colorado Avalanche
Tage Thompson,C,0.4286961374345784,https://www.spotrac.com/nhl/player/_/id/20310,7142857,8.12,7142857,-,2023,7,6,2030,49999999,UFA,26-331d,Oct 30 1997,6 Years,US,Connecticut,Round 1 (#26 overall) 2016,Buffalo Sabres
Tyler Toffoli,R,0.4847543163758558,https://www.spotrac.com/nhl/player/_/id/7684,6000000,6.82,5000000,1000000,2024,4,4,2028,24000000,UFA,32-156d,Apr 24 1992,10 Years,CA,Ottawa,Round 2 (#47 overall) 2010,San Jose Sharks
Vladimir Tarasenko,R,0.411924548532079,https://www.spotrac.com/nhl/player/_/id/10904,4750000,5.4,4750000,-,2024,2,2,2026,9500000,UFA,32-289d,Dec 13 1991,10 Years,RU,Novokuznetsk,Round 1 (#16 overall) 2010,Detroit Red Wings
Michael Bunting,L,0.4117574985369729,https://www.spotrac.com/nhl/player/_/id/18045,4500000,5.11,4500000,-,2023,3,2,2026,13500000,UFA,29-10d,Sep 17 1995,4 Years,CA,Sault Ste. Marie,Round 4 (#117 overall) 2014,Pittsburgh Penguins
Quinton Byfield,R,0.4346762306225045,https://www.spotrac.com/nhl/player/_/id/62859,6250000,7.1,775000,5500000,2024,5,5,2029,31250000,UFA,22-37d,Aug 19 2002,2 Years,CA,,Round 1 (#2 overall) 2020,Los Angeles Kings
Kyle Palmieri,C,0.435889305578672,https://www.spotrac.com/nhl/player/_/id/11654,5000000,5.68,5000000,-,2021,4,1,2025,20000000,UFA,33-239d,Feb 01 1991,12 Years,US,Notre Dame,Round 1 (#26 overall) 2009,New York Islanders
Blake Coleman,C,0.4805922711756939,https://www.spotrac.com/nhl/player/_/id/17953,4900000,5.57,4900000,-,2021,6,3,2027,29400000,UFA,32-304d,Nov 28 1991,7 Years,US,Miami (OH),Round 3 (#74 overall) 2011,Calgary Flames
